time,temperature,humidity,wind_speed,soil_temperature
2026-06-02 18:00:00,28.9,93,9.4,30.8
2026-06-02 19:00:00,28.6,95,9.0,30.5
2026-06-02 20:00:00,28.5,96,8.6,30.3
2026-06-02 21:00:00,28.4,97,8.2,30.2
2026-06-02 22:00:00,28.1,99,7.8,29.8
2026-06-02 23:00:00,28.0,100,7.5,29.5
2026-06-03 00:00:00,28.3,98,7.3,29.7
2026-06-03 01:00:00,29.4,93,7.1,30.6
2026-06-03 02:00:00,30.9,85,6.9,32.0
2026-06-03 03:00:00,32.4,78,6.5,33.3
2026-06-03 04:00:00,33.8,71,5.0,34.3
2026-06-03 05:00:00,35.2,64,3.5,35.2
2026-06-03 06:00:00,36.2,60,2.8,35.9
2026-06-03 07:00:00,36.6,58,4.9,39.3
2026-06-03 08:00:00,36.5,57,7.9,40.0
2026-06-03 09:00:00,35.8,60,9.2,39.9
2026-06-03 10:00:00,33.7,68,6.3,38.5
2026-06-03 11:00:00,30.9,83,4.8,36.3
2026-06-03 12:00:00,28.9,95,6.3,34.5
2026-06-03 13:00:00,28.5,98,4.4,33.4
2026-06-03 14:00:00,29.0,97,3.5,32.5
2026-06-03 15:00:00,29.5,95,6.4,31.9
2026-06-03 16:00:00,29.4,94,7.8,31.3
2026-06-03 17:00:00,29.2,94,8.5,30.9
2026-06-03 18:00:00,29.0,94,8.9,30.5
2026-06-03 19:00:00,29.0,94,8.7,30.2
2026-06-03 20:00:00,28.9,95,8.3,30.0
2026-06-03 21:00:00,28.8,96,7.7,29.9
2026-06-03 22:00:00,28.0,100,8.9,29.6
2026-06-03 23:00:00,28.1,100,8.1,29.4
2026-06-04 00:00:00,28.5,98,7.4,29.6
2026-06-04 01:00:00,29.5,91,6.3,30.3
2026-06-04 02:00:00,31.0,81,5.1,31.3
2026-06-04 03:00:00,32.8,71,4.1,32.6
2026-06-04 04:00:00,34.6,63,3.8,34.4
2026-06-04 05:00:00,36.0,57,3.8,36.5
2026-06-04 06:00:00,36.8,54,3.6,38.1
2026-06-04 07:00:00,36.9,54,3.1,39.1
2026-06-04 08:00:00,36.5,56,3.4,39.6
2026-06-04 09:00:00,35.7,60,6.0,39.6
2026-06-04 10:00:00,34.8,64,9.0,38.6
2026-06-04 11:00:00,33.8,69,11.7,37.1
2026-06-04 12:00:00,33.2,73,13.5,35.6
2026-06-04 13:00:00,32.5,76,14.2,34.3
2026-06-04 14:00:00,32.0,79,14.2,33.1
2026-06-04 15:00:00,31.4,82,13.8,32.2
2026-06-04 16:00:00,30.8,85,13.2,31.6
2026-06-04 17:00:00,30.4,87,12.7,31.2
2026-06-04 18:00:00,30.0,89,12.3,30.9
2026-06-04 19:00:00,29.6,90,12.1,30.6
2026-06-04 20:00:00,29.2,92,11.9,30.3
2026-06-04 21:00:00,28.9,93,11.4,30.1
2026-06-04 22:00:00,28.8,94,11.0,29.7
2026-06-04 23:00:00,28.9,92,10.6,29.3
